x,y
-10.0,-1766.0
-9.899497487437186,-1710.603913991817
-9.798994974874372,-1656.3673337521677
-9.698492462311558,-1603.2780774659388
-9.597989949748744,-1551.323963318017
-9.49748743718593,-1500.4928094932884
-9.396984924623116,-1450.7724341766404
-9.296482412060302,-1402.1506555529597
-9.195979899497488,-1354.615291807133
-9.095477386934673,-1308.1541611240466
-8.99497487437186,-1262.7550816885873
-8.894472361809045,-1218.405871685642
-8.793969849246231,-1175.0943493000977
-8.693467336683417,-1132.8083327168406
-8.592964824120603,-1091.5356401207575
-8.492462311557789,-1051.264089696735
-8.391959798994975,-1011.9814996296601
-8.291457286432161,-973.6756881044195
-8.190954773869347,-936.3344733058998
-8.090452261306533,-899.9456734189877
-7.989949748743719,-864.4971066285698
-7.889447236180905,-829.976591119533
-7.788944723618091,-796.371945076764
-7.688442211055277,-763.6709866851493
-7.5879396984924625,-731.8615341295757
-7.4874371859296485,-700.9314055949302
-7.386934673366834,-670.868419266099
-7.28643216080402,-641.6603933279691
-7.185929648241206,-613.2951459654274
-7.085427135678392,-585.7604953633601
-6.984924623115578,-559.0442597066544
-6.884422110552764,-533.1342571801966
-6.78391959798995,-508.01830596887385
-6.683417085427136,-483.68422425757234
-6.582914572864322,-460.11983023117926
-6.482412060301508,-437.312942074581
-6.381909547738694,-415.25137797266433
-6.28140703517588,-393.922956110316
-6.180904522613066,-373.3154946724228
-6.080402010050252,-353.41681184387136
-5.979899497487437,-334.21472580954816
-5.879396984924623,-315.6970547543403
-5.7788944723618085,-297.85161686313427
-5.6783919597989945,-280.6662303208169
-5.57788944723618,-264.1287133122748
-5.477386934673366,-248.22688402239464
-5.376884422110552,-232.94856063606326
-5.276381909547738,-218.28156133816722
-5.175879396984924,-204.21370431359335
-5.07537688442211,-190.7328077472283
-4.974874371859296,-177.82668982395876
-4.874371859296482,-165.48316872867144
-4.773869346733668,-153.6900626462531
-4.673366834170854,-142.43518976159044
-4.57286432160804,-131.70636825957004
-4.472361809045226,-121.4914163250788
-4.371859296482412,-111.77815214300331
-4.271356783919598,-102.55439389823027
-4.1708542713567835,-93.80795977564648
-4.0703517587939695,-85.52666796013851
-3.9698492462311554,-77.69833663659323
-3.8693467336683414,-70.31078398989719
-3.7688442211055273,-63.35182820493719
-3.6683417085427132,-56.809287466599926
-3.567839195979899,-50.67097995977207
-3.467336683417085,-44.92472386934036
-3.366834170854271,-39.55833738019152
-3.266331658291457,-34.559638677212206
-3.165829145728643,-29.916445945289183
-3.065326633165829,-25.6165773693091
-2.964824120603015,-21.647851134158707
-2.8643216080402008,-17.99808542472468
-2.7638190954773867,-14.655098425893762
-2.6633165829145726,-11.606708322552631
-2.5628140703517586,-8.84073329958801
-2.4623115577889445,-6.344991541886596
-2.3618090452261304,-4.1073012343351
-2.2613065326633164,-2.1154805618202337
-2.1608040201005023,-0.3573477092287005
-2.0603015075376883,1.1792791385527943
-1.9597989949748733,2.506581796637553
-1.8592964824120592,3.636742080138842
-1.7587939698492452,4.58194180416997
-1.6582914572864311,5.3543627838442305
-1.557788944723617,5.966186834274913
-1.457286432160803,6.429595770575312
-1.356783919597989,6.75677140785872
-1.2562814070351749,6.9598955612384295
-1.1557788944723608,7.051150045827735
-1.0552763819095468,7.042716676739928
-0.9547738693467327,6.9467772690883
-0.8542713567839186,6.775513637986146
-0.7537688442211046,6.541107598546757
-0.6532663316582905,6.255740965883428
-0.5527638190954764,5.93159555510945
-0.4522613065326624,5.5808531813381155
-0.3517587939698483,5.215695659682718
-0.25125628140703427,4.848304805256552
-0.1507537688442202,4.490862433172906
-0.05025125628140614,4.155550358545077
0.05025125628140792,3.854550396486356
0.15075376884422198,3.6000443621100358
0.25125628140703604,3.4042140705294086
0.3517587939698501,3.2792413368577686
0.45226130653266416,3.2373079762084074
0.5527638190954782,3.2905958036946186
0.6532663316582923,3.451286634429694
0.7537688442211063,3.7315622835269275
0.8542713567839204,4.1436045660996115
0.9547738693467345,4.699595297261038
1.0552763819095485,5.411716292124501
1.1557788944723626,6.292149365803292
1.2562814070351767,7.353076333410705
1.3567839195979907,8.606679010060033
1.4572864321608048,10.065139210864567
1.5577889447236188,11.7406387509376
1.658291457286433,13.645359445392428
1.758793969849247,15.791483109342341
1.859296482412061,18.19119155790063
1.959798994974875,20.85666660618059
2.060301507537689,23.800090069295514
2.160804020100503,27.033643762358697
2.2613065326633173,30.569509500483434
2.3618090452261313,34.419869098783
